,Type,Study,,,Templete data ,Age data,NOAA template,For J Morton to check,Uploaded to NCDC,Notes,Triple checked by CG and JR,Notes,,,,,,,,,,,,,,
Plant,SR,"McElwain et al., 2005",,"McElwain, J.C., Wade-Murphy, J. and Hesselbo, S.P., 2005. Changes in carbon dioxide during an oceanic anoxic event linked to intrusion into Gondwana coals. Nature, 435(7041): 479–482. https://doi.org/10.1038/nature03618.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,Franks,"Montañez et al., 2016",,"Montañez, I.P., McElwain, J.C., Poulsen, C.J., White, J.D., Dimichele, W.A., Wilson, J.P., Griggs, G. and Hren, M.T., 2016. Climate, pCO2 and terrestrial carbon cycle linkages during late Palaeozoic glacial-interglacial cycles. Nat. Geosci., 9(11): 824–828. https://doi.org/10.1038/ngeo2822.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Montañez et al., 2016",,"Montañez, I.P., McElwain, J.C., Poulsen, C.J., White, J.D., Dimichele, W.A., Wilson, J.P., Griggs, G. and Hren, M.T., 2016. Climate, pCO2 and terrestrial carbon cycle linkages during late Palaeozoic glacial-interglacial cycles. Nat. Geosci., 9(11): 824–828. https://doi.org/10.1038/ngeo2822.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,,,,,,,,,,,,,,,,
Plant,SR,"Passalia, 2009",,"Passalia, M.G., 2009. Cretaceous pCO2 estimation from stomatal frequency analysis of gymnosperm leaves of Patagonia, Argentina. Palaeogeogr. Palaeocl., 273(1): 17–24. https://doi.org/10.1016/j.palaeo.2008.11.010.",Y,X,Y,X,,"Double checked by JDR, needs to be checked by J. Morton, Needs age data",,,,,,,,,,,,,,,,
Plant,SR,"Pie?kowski et al., 2020",,"Pie?kowski, G., Hesselbo, S.P., Barbacka, M., Leng, M.J., 2020. Non-marine carbon-isotope stratigraphy of the Triassic-Jurassic transition in the Polish Basin and its relationships to organic carbon preservation, pCO2 and palaeotemperature. Earth-Sci. Rev. 210, 103383.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Plant,SI,"Quan et al., 2009",,"Quan, C., Sun, C., Sun, Y. and Sun, G., 2009. High resolution estimates of paleo-CO2 levels through the Campanian (Late Cretaceous) based on Ginkgo cuticles. Cretaceous Res., 30(2): 424–428. https://doi.org/10.1016/j.cretres.2008.08.004.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,SR,"Quan et al., 2009",,"Quan, C., Sun, C., Sun, Y. and Sun, G., 2009. High resolution estimates of paleo-CO2 levels through the Campanian (Late Cretaceous) based on Ginkgo cuticles. Cretaceous Res., 30(2): 424–428. https://doi.org/10.1016/j.cretres.2008.08.004.",Y,Y,Y,,,Fixed errors identified by J. Morton. Double checked and ready for upload,Y,Triple checked and ready for upload,,,,,,,,,,,,,,
Plant,Franks,"Richey et al., 2018",,"Richey, J.D., Upchurch, G.R., Montañez, I.P., Lomax, B.H., Suarez, M.B., Crout, N.M.J., Joeckel, R.M., Ludvigson, G.A. and Smith, J.J., 2018. Changes in CO2 during Ocean Anoxic Event 1d indicate similarities to other carbon cycle perturbations. Earth Planet. Sci. Lett., 491: 172–182. https://doi.org/10.1016/j.epsl.2018.03.035.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Plant,SI,"Richey et al., 2018",,"Richey, J.D., Upchurch, G.R., Montañez, I.P., Lomax, B.H., Suarez, M.B., Crout, N.M.J., Joeckel, R.M., Ludvigson, G.A. and Smith, J.J., 2018. Changes in CO2 during Ocean Anoxic Event 1d indicate similarities to other carbon cycle perturbations. Earth Planet. Sci. Lett., 491: 172–182. https://doi.org/10.1016/j.epsl.2018.03.035.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
Plant,Franks,"Richey et al., 2020",,"Richey, J.D., Montañez, I.P., Goddéris, Y., Looy, C.V., Griffis, N.P. and DiMichele, W.A., 2020. Influence of temporally varying weatherability on CO2–climate coupling and ecosystem change in the late Paleozoic. Clim. Past., 16(5): 1759–1775. https://doi.org/10.5194/cp-16-1759-2020.",Y,Y,Y,X,,"Double checked by JDR, needs to be checked by J. Morton",,,,,,,,,,,,,,,,
